No.,Time,Length
992,21.007317,68
993,21.037051,125
996,21.050034,125
999,21.076968,68
1000,21.091819,68
1001,21.102909,125
1010,21.176864,117
1011,21.19234,125
1013,21.25016,125
1015,21.303143,125
1016,21.303155,125
1020,21.362913,68
1021,21.362925,125
1023,21.431931,125
1026,21.457535,125
1028,21.487011,125
1029,21.487024,68
1031,21.509866,125
1033,21.522996,125
1036,21.587106,125
1037,21.592083,68
1038,21.592092,125
1041,21.626819,125
1044,21.682995,117
1046,21.687001,125
1048,21.702984,125
1050,21.722934,68
1051,21.726957,125
1054,21.817145,68
1055,21.837242,125
1057,21.846826,125
1060,21.862851,125
1062,21.886884,68
1063,21.906945,125
1066,21.957187,68
1067,21.966882,125
1070,22.002994,125
1072,22.037346,125
1074,22.042811,68
1076,22.111929,125
1078,22.116723,68
1080,22.156929,125
1083,22.203191,117
1084,22.203203,68
1085,22.211905,125
1086,22.211918,125
1089,22.257119,125
1091,22.262794,125
1094,22.303028,68
1095,22.306962,125
1098,22.329826,125
1100,22.366854,68
1102,22.403279,125
1103,22.406861,125
1104,22.40687,68
1109,22.477238,125
1111,22.492018,68
1113,22.507029,125
1115,22.529975,125
1117,22.542925,125
1120,22.589913,125
1123,22.622963,125
1124,22.626746,68
1126,22.663002,68
1129,22.703273,117
1130,22.717014,68
1131,22.722974,125
1134,22.790934,125
1136,22.802915,125
1138,22.826948,68
1140,22.937052,68
1141,22.962873,125
1143,22.98302,125
1146,23.023522,68
1147,23.029869,125
1150,23.126887,68
1151,23.129828,125
1153,23.149989,125
1157,23.18732,125
1159,23.207196,117
1160,23.223054,68
1162,23.291842,68
1164,23.311913,125
1166,23.342955,68
1167,23.352386,125
1169,23.382974,125
1170,23.389846,125
1177,23.446869,68
1185,23.476835,68
1187,23.503073,125
1190,23.526864,125
1191,23.536942,125
1194,23.542966,125
1197,23.562993,68
1198,23.582957,68
1199,23.604194,125
1202,23.646941,68
1205,23.682936,125
1208,23.68678,125
1209,23.691783,68
1211,23.718002,68
1212,23.728143,117
1214,23.742891,125
1215,23.742902,125
1218,23.772042,68
1219,23.789955,125
1222,23.836903,125
1224,23.852116,68
1225,23.882977,125
1228,23.897928,125
1230,23.937778,68
1232,23.951978,125
1234,23.971827,125
1236,23.987347,68
1238,24.017372,125
1240,24.029855,125
1243,24.057092,68
1244,24.071923,125
1246,24.091009,68
1247,24.117013,125
1254,24.18312,68
1255,24.183133,125
1259,24.213005,125
1262,24.231706,68
1263,24.236772,117
1267,24.256982,125
1269,24.256984,125
1275,24.276986,68
1285,24.311886,68
1291,24.337366,125
1294,24.342883,68
1297,24.377145,68
1304,24.424982,125
1306,24.449894,125
1307,24.450699,68
1311,24.537103,125
1313,24.571951,125
1315,24.586849,125
1317,24.589731,125
1319,24.616913,125
1322,24.757062,125
1324,24.762844,125
1326,24.782905,117
1327,24.782913,125
1330,25.027099,125
1331,25.027101,125
1332,25.027103,125
1333,25.027105,125
1334,25.027106,125
1335,25.027108,125
1336,25.02711,125
1337,25.027116,125
1346,25.036969,125
1348,25.056934,125
1349,25.062854,125
1350,25.062859,125
1354,25.076782,125
1355,25.082692,125
1358,25.102814,125
1360,25.1468,125
1362,25.169897,125
1364,25.222916,125
1366,25.266851,125
1368,25.2829,125
1369,25.282908,125
1379,25.326913,125
1390,25.376908,125
1392,25.457901,125
1396,25.496786,125
1398,25.537037,125
1400,25.542832,125
1402,25.566898,125
1404,25.596894,125
1406,25.646767,125
1408,25.669901,125
1410,25.683039,125
1412,25.696742,125
1414,25.706792,125
1416,25.806859,125
1418,25.84294,125
1419,25.842949,125
1422,25.862862,125
1424,25.889906,125
1425,25.896942,125
1433,26.023067,68
1434,26.023077,68
1435,26.02308,68
1436,26.023082,117
1437,26.031846,125
1439,26.042761,125
1442,26.092949,125
1443,26.092958,125
1446,26.112337,125
1448,26.307043,125
1449,26.307053,125
1452,26.322833,125
1453,26.322843,125
1456,26.336901,125
1457,26.336908,125
1460,26.34678,125
1462,26.382835,125
1465,26.467855,125
1466,26.467864,125
1470,26.526913,125
1471,26.526922,125
1474,26.567287,125
1476,26.58695,125
1478,26.617859,125
1480,26.651779,125
1482,26.7299,125
1484,26.742795,125
1486,26.776854,125
1488,26.786831,125
1490,26.791726,125
1492,26.946906,125
1493,26.946916,125
1496,26.962948,125
1498,26.986941,125
1500,27.007479,125
1502,27.042994,125
1504,27.064944,125
1506,27.136877,125
1507,27.136885,125
1510,27.216763,125
1512,27.306903,125
1514,27.349794,125
1516,27.362867,125
1518,27.369899,125
1519,27.37678,125
1524,27.486843,125
1526,27.551821,125
1527,27.556791,125
1530,27.57303,125
1532,27.746858,125
1534,27.762896,125
1536,27.771831,125
1538,27.78981,125
1540,27.857032,125
1542,28.067021,125
1543,28.06703,125
1544,28.067031,125
1545,28.067032,125
1546,28.067033,125
1552,28.077293,125
1554,28.083033,125
1556,28.103062,125
1561,28.163083,125
1563,28.183052,125
1565,28.202912,125
1567,28.249873,125
1569,28.327908,125
1572,28.397924,125
1575,28.426819,125
1580,28.502918,125
1582,28.553052,125
1584,28.576941,125
1585,28.576952,125
1588,28.707049,125
1590,28.791787,125
1592,28.816921,125
1595,28.89469,125
1597,28.916745,125
1599,28.9769,125
1602,29.18748,125
1603,29.187489,125
1604,29.187491,125
1608,29.207883,125
1611,29.230043,125
1613,29.242826,125
1615,29.287877,125
1617,29.376994,125
1619,29.456927,125
1623,29.5028,125
1625,29.833205,125
1626,29.833218,125
1627,29.833221,125
1628,29.833223,125
1633,29.843029,125
1635,29.857293,125
1637,29.927942,125
1638,29.929751,125
1641,29.962901,125
1643,30.022982,125
1645,30.272636,125
1646,30.272648,125
1647,30.27265,125
1651,30.297348,125
1653,30.3029,125
1655,30.466993,125
1657,30.562925,125
1659,30.793133,125
1660,30.793145,125
1663,30.822867,125
1665,30.882836,125
1671,31.196956,68
1673,31.202872,117
1676,31.238846,68
1678,31.371915,68
1684,31.683248,125
1686,31.712567,125
1688,31.723839,117
1693,32.217017,117
1700,32.72687,117
1703,33.248052,117
1707,33.777312,117
1718,34.258145,117
1719,34.317258,125
1722,34.50808,125
1726,34.783173,117
1736,35.06798,125
1745,35.277306,117
1746,35.35688,125
1755,35.80324,117
1756,35.817412,125
1758,36.067012,125
1760,36.083075,125
1772,36.312469,117
1776,36.70711,125
1779,36.826876,117
1785,37.343094,117
1789,37.827686,125
1790,37.8277,141
1791,37.827701,125
1792,37.827702,141
1793,37.827704,125
1801,37.878432,117
1802,37.878436,110
1811,37.947916,187
1813,38.007911,202
1815,38.066906,110
1816,38.066914,272
1817,38.131936,181
1818,38.131945,236
1819,38.163095,213
1821,38.202904,181
1822,38.202914,238
1823,38.21187,149
1824,38.21188,117
1825,38.266894,181
1826,38.266903,256
1827,38.330537,168
1829,38.397354,147
1830,38.433261,117
1831,38.462882,146
1834,38.571979,121
1836,38.597718,121
1837,38.642939,117
1838,38.662999,121
1839,38.726946,121
1840,38.792057,122
1842,38.843418,117
1843,38.857279,122
1844,38.926935,122
1845,38.99197,122
1847,39.056881,122
1848,39.082925,117
1849,39.123019,121
1851,39.189855,121
1854,39.256932,121
1855,39.277237,117
1856,39.323081,121
1857,39.387327,121
1861,39.457129,122
1862,39.496892,117
1863,39.523378,122
1864,39.586843,122
1866,39.649941,122
1867,39.690261,117
1868,39.716886,122
1869,39.783196,121
1870,39.850015,121
1872,39.89703,117
1873,39.917266,121
1874,39.987983,121
1875,40.047272,121
1877,40.112461,117
1878,40.112475,121
1883,40.17743,122
1887,40.247026,122
1889,40.309989,122
1890,40.330082,117
1892,40.37748,122
1894,40.443037,121
1898,40.509934,121
1900,40.526959,117
1901,40.576905,121
1902,40.642943,121
1904,40.70694,121
